timestamp,btc_dominance,eth_dominance,score,active_cryptocurrencies,active_market_pairs,active_exchanges,USD_total_market_cap,USD_total_volume24h,USD_total_volume24h_reported,USD_altcoin_volume24h,USD_altcoin_volume24h_reported,USD_altcoin_market_cap,USD_original_score,total_cryptocurrencies,total_exchanges,origin_id
2014-01-01,87.6262,0,1388534400000,NA,NA,NA,10553499648,32186200,0,11061100,0,1305869952,1388534520,NA,NA,NA
2014-01-02,87.491,0,1388620800000,NA,NA,NA,10760699904,40160800,0,17000500,0,1346060032,1388620920,NA,NA,NA
2014-01-03,87.1947,0,1388707200000,NA,NA,NA,11201599488,104306000,0,65756900,0,1434390016,1388707320,NA,NA,NA
2014-01-04,87.8253,0,1388793600000,NA,NA,NA,11402800128,81151400,0,43222900,0,1388259968,1388793720,NA,NA,NA
2014-01-05,88.1162,0,1388880000000,NA,NA,NA,11882099712,63420000,0,25432700,0,1412050048,1388880120,NA,NA,NA
2014-01-06,88.791,0,1388966400000,NA,NA,NA,12875700224,115640000,0,42507200,0,1443229952,1388966520,NA,NA,NA
2014-01-07,88.6379,0,1389052800000,NA,NA,NA,13110099968,156352000,0,70786000,0,1489590016,1389052920,NA,NA,NA
2014-01-08,89.3615,0,1389139200000,NA,NA,NA,10802599936,138380000,0,55320000,0,1149240064,1389139320,NA,NA,NA
2014-01-09,89.1749,0,1389225600000,NA,NA,NA,11650100224,128696000,0,58673100,0,1261139968,1389225720,NA,NA,NA
2014-01-10,89.2643,0,1389312000000,NA,NA,NA,11512299520,84935000,0,26189200,0,1235929984,1389312120,NA,NA,NA
2014-01-11,89.2616,0,1389398400000,NA,NA,NA,11897499648,46837100,0,15164400,0,1277600000,1389398520,NA,NA,NA
2014-01-12,89.2643,0,1389484800000,NA,NA,NA,12602900480,77831504,0,32209400,0,1353010048,1389484920,NA,NA,NA
2014-01-13,89.3148,0,1389571200000,NA,NA,NA,11765099520,63735400,0,24742300,0,1257120000,1389571320,NA,NA,NA
2014-01-14,89.6112,0,1389657600000,NA,NA,NA,11569999872,51027900,0,5738710,0,1201980032,1389657720,NA,NA,NA
2014-01-15,89.4696,0,1389744000000,NA,NA,NA,11409699840,31628200,0,10815200,0,1201490048,1389744120,NA,NA,NA
2014-01-16,89.342,0,1389830400000,NA,NA,NA,11815799808,44852900,0,16780100,0,1259320064,1389830520,NA,NA,NA
2014-01-17,89.4629,0,1389916800000,NA,NA,NA,11447400448,30490300,0,11006300,0,1206220032,1389916920,NA,NA,NA
2014-01-18,89.4809,0,1390003200000,NA,NA,NA,11198300160,53525100,0,14643500,0,1177959936,1390003320,NA,NA,NA
2014-01-19,89.2595,0,1390089600000,NA,NA,NA,11568400384,29290100,0,11375400,0,1242499968,1390089720,NA,NA,NA
2014-01-20,89.1607,0,1390176000000,NA,NA,NA,12003600384,40296200,0,14859700,0,1301110016,1390176120,NA,NA,NA
2014-01-21,89.0147,0,1390262400000,NA,NA,NA,12036200448,45672800,0,18904500,0,1322210048,1390262520,NA,NA,NA
2014-01-22,88.7,0,1390348800000,NA,NA,NA,11973300224,42872500,0,23875200,0,1352979968,1390348920,NA,NA,NA
2014-01-23,89.1001,0,1390435200000,NA,NA,NA,11679099904,42104100,0,23468900,0,1273010048,1390435320,NA,NA,NA
2014-01-24,89.2276,0,1390521600000,NA,NA,NA,11331600384,35572900,0,20165100,0,1220690048,1390521720,NA,NA,NA
2014-01-25,89.4426,0,1390608000000,NA,NA,NA,10954800128,71230400,0,36335400,0,1156540032,1390608120,NA,NA,NA
2014-01-26,88.9975,0,1390694400000,NA,NA,NA,11757400064,48678300,0,24384400,0,1293609984,1390694520,NA,NA,NA
2014-01-27,89.1483,0,1390780800000,NA,NA,NA,12214800384,56462000,0,24392000,0,1325510016,1390780920,NA,NA,NA
2014-01-28,89.4392,0,1390867200000,NA,NA,NA,10660100096,76038704,0,26311400,0,1125799936,1390867320,NA,NA,NA
2014-01-29,89.4313,0,1390953600000,NA,NA,NA,11194399744,68820000,0,24072800,0,1183110016,1390953720,NA,NA,NA
2014-01-30,89.4473,0,1391040000000,NA,NA,NA,11387299840,28626100,0,10924600,0,1201670016,1391040120,NA,NA,NA
2014-01-31,89.4328,0,1391126400000,NA,NA,NA,11288699904,44598400,0,14696800,0,1192889984,1391126520,NA,NA,NA
2014-02-01,89.2172,0,1391212800000,NA,NA,NA,11511300096,26735900,0,9449270,0,1241240064,1391212920,NA,NA,NA
2014-02-02,89.1497,0,1391299200000,NA,NA,NA,11524800512,32873400,0,13309200,0,1250480000,1391299320,NA,NA,NA
2014-02-03,89.0466,0,1391385600000,NA,NA,NA,11416999936,20631000,0,9360360,0,1250550016,1391385720,NA,NA,NA
2014-02-04,89.2779,0,1391472000000,NA,NA,NA,11406900224,22532000,0,8501920,0,1223049984,1391472120,NA,NA,NA
2014-02-05,89.4494,0,1391558400000,NA,NA,NA,11447199744,29317100,0,12732500,0,1207760000,1391558520,NA,NA,NA
2014-02-06,89.5313,0,1391644800000,NA,NA,NA,11261400064,37350400,0,14548800,0,1178919936,1391644920,NA,NA,NA
2014-02-07,89.5901,0,1391731200000,NA,NA,NA,10766699520,64001600,0,14222200,0,1120800000,1391731320,NA,NA,NA
2014-02-08,89.3334,0,1391817600000,NA,NA,NA,9620620288,138444992,0,25659000,0,1026200000,1391817720,NA,NA,NA
2014-02-09,89.1973,0,1391904000000,NA,NA,NA,9281949696,47547600,0,10929200,0,1002700032,1391904120,NA,NA,NA
2014-02-10,89.0596,0,1391990400000,NA,NA,NA,9434380288,51492500,0,12589200,0,1032160000,1391990520,NA,NA,NA
